price,date,coin
2972.575823712107,2025-12-21 06:02:03.631,ethereum
88096.92332547231,2025-12-21 06:02:08.076,bitcoin
77.10067543910145,2025-12-21 06:04:12.047,litecoin
1.922523514170829,2025-12-21 06:04:31.951,ripple
88067.80650576256,2025-12-21 07:01:28.981,bitcoin
1.920967151412382,2025-12-21 07:01:30.157,ripple
77.16977477753869,2025-12-21 07:01:33.274,litecoin
2974.9280406376756,2025-12-21 07:04:26.069,ethereum
1.9233900452535175,2025-12-21 08:00:59.096,ripple
77.08666819357329,2025-12-21 08:01:01.556,litecoin
88096.03952519396,2025-12-21 08:02:16.261,bitcoin
2979.7838620005477,2025-12-21 08:02:19.428,ethereum
88507.34177043913,2025-12-21 09:01:12.234,bitcoin
2991.0076969630863,2025-12-21 09:01:55.264,ethereum
1.936377870719332,2025-12-21 09:02:41.442,ripple
77.48966641409133,2025-12-21 09:04:37.965,litecoin
88948.66417291677,2025-12-21 10:00:12.262,bitcoin
3004.1891528769024,2025-12-21 10:00:15.168,ethereum
77.66022111795537,2025-12-21 10:00:22.171,litecoin
1.94574030100311,2025-12-21 10:01:30.797,ripple
1.9341675835729204,2025-12-21 11:02:20.267,ripple
77.41629952116472,2025-12-21 11:02:37.378,litecoin
88630.31885043465,2025-12-21 11:02:47.550,bitcoin
2994.4346152336507,2025-12-21 11:02:48.152,ethereum
77.39684788880437,2025-12-21 12:00:34.401,litecoin
1.9323660690486753,2025-12-21 12:01:41.552,ripple
88565.63772600175,2025-12-21 12:01:49.426,bitcoin
2995.072950838514,2025-12-21 12:01:51.258,ethereum
88561.97572770563,2025-12-21 13:00:25.831,bitcoin
2986.657700020452,2025-12-21 13:00:26.680,ethereum
76.9919431048909,2025-12-21 13:00:27.095,litecoin
1.9283380584312584,2025-12-21 13:03:00.082,ripple
75.70606367814591,2025-12-21 14:02:26.639,litecoin
87655.16418543628,2025-12-21 14:03:33.223,bitcoin
2945.79637589386,2025-12-21 14:04:52.022,ethereum
1.8967342228099373,2025-12-21 14:04:56.367,ripple
2969.9362527947064,2025-12-21 15:01:17.222,ethereum
1.904257092902953,2025-12-21 15:01:22.937,ripple
75.9873945786991,2025-12-21 15:01:37.397,litecoin
88027.29024029589,2025-12-21 15:01:38.612,bitcoin
75.96818381607089,2025-12-21 16:08:43.053,litecoin
1.9034840031604945,2025-12-21 16:09:09.083,ripple
88082.42273299964,2025-12-21 16:09:30.446,bitcoin
2973.581409403152,2025-12-21 16:09:41.938,ethereum
76.29939546374905,2025-12-21 17:02:07.347,litecoin
2983.9954441335453,2025-12-21 17:03:14.800,ethereum
1.9067115500393599,2025-12-21 17:03:14.835,ripple
88341.3886463641,2025-12-21 17:03:15.514,bitcoin
76.25600728334965,2025-12-21 18:01:07.934,litecoin
88284.58255882129,2025-12-21 18:01:47.561,bitcoin
2982.8502621017014,2025-12-21 18:01:50.826,ethereum
1.9075176439771417,2025-12-21 18:01:51.864,ripple
76.25787544124937,2025-12-21 19:00:39.386,litecoin
2991.0491761146786,2025-12-21 19:05:20.518,ethereum
1.9126316295549952,2025-12-21 19:05:28.087,ripple
88427.25355200119,2025-12-21 19:06:03.104,bitcoin
76.56339387365307,2025-12-21 20:01:33.234,litecoin
1.9171081157795793,2025-12-21 20:02:29.068,ripple
2991.8315005524855,2025-12-21 20:02:42.649,ethereum
88459.8138707823,2025-12-21 20:02:46.484,bitcoin
76.26449361105183,2025-12-21 21:01:20.408,litecoin
1.911850635732035,2025-12-21 21:01:59.388,ripple
88197.1818973117,2025-12-21 21:02:03.466,bitcoin
2985.9020543053866,2025-12-21 21:02:03.707,ethereum
88106.66928225872,2025-12-21 22:02:16.004,bitcoin
75.98874771268828,2025-12-21 22:02:26.906,litecoin
2971.596643743287,2025-12-21 22:02:29.748,ethereum
1.9070722045615258,2025-12-21 22:02:30.665,ripple
1.9179329540059213,2025-12-21 23:01:23.672,ripple
2996.4482322494105,2025-12-21 23:01:23.794,ethereum
88466.39336921231,2025-12-21 23:01:26.297,bitcoin
76.5416753904153,2025-12-21 23:02:13.701,litecoin
1.921837870988929,2025-12-22 00:01:33.368,ripple
88672.32967904503,2025-12-22 00:01:42.740,bitcoin
3004.2204920824893,2025-12-22 00:02:09.010,ethereum
76.82387195498504,2025-12-22 00:03:46.290,litecoin
1.9280344657996555,2025-12-22 01:00:33.162,ripple
77.32657880810547,2025-12-22 01:00:51.220,litecoin
88634.59992349986,2025-12-22 01:01:15.151,bitcoin
3024.8731108190486,2025-12-22 01:01:53.243,ethereum
1.9212271880669278,2025-12-22 02:00:46.560,ripple
88596.95085243393,2025-12-22 02:01:52.902,bitcoin
77.18227355972763,2025-12-22 02:01:57.338,litecoin
3016.40440727092,2025-12-22 02:01:58.190,ethereum
1.918669955588696,2025-12-22 03:01:37.109,ripple
88434.5680113634,2025-12-22 03:01:46.641,bitcoin
3009.847090243052,2025-12-22 03:01:49.116,ethereum
77.4519159694746,2025-12-22 03:02:28.857,litecoin
3019.5239109619097,2025-12-22 04:01:21.548,ethereum
77.97451403963856,2025-12-22 04:01:21.929,litecoin
1.9202638096246798,2025-12-22 04:01:22.930,ripple
88683.95539672003,2025-12-22 04:01:48.274,bitcoin
88884.54693933633,2025-12-22 05:02:07.977,bitcoin
3039.3933667487804,2025-12-22 05:02:08.289,ethereum
77.81556639746361,2025-12-22 05:02:11.378,litecoin
1.923813051286589,2025-12-22 05:02:23.374,ripple
3027.167915404419,2025-12-22 06:01:31.328,ethereum
88802.66612556993,2025-12-22 06:01:39.298,bitcoin
1.9199123623562226,2025-12-22 06:01:53.673,ripple
77.5960109245469,2025-12-22 06:06:23.626,litecoin
88944.79544150726,2025-12-22 07:00:12.772,bitcoin
1.9181530002646883,2025-12-22 07:01:32.000,ripple
3025.7560667931193,2025-12-22 07:02:22.807,ethereum
77.58091781799176,2025-12-22 07:02:29.906,litecoin
77.7436119123457,2025-12-22 08:01:36.876,litecoin
89102.18315091524,2025-12-22 08:02:09.744,bitcoin
3027.156789860027,2025-12-22 08:02:10.100,ethereum
1.9261594115527947,2025-12-22 08:02:10.665,ripple
77.86171467312454,2025-12-22 09:01:33.259,litecoin
1.9210123643414374,2025-12-22 09:02:01.098,ripple
89286.25306002611,2025-12-22 09:03:16.818,bitcoin
3026.3960629695293,2025-12-22 09:03:52.272,ethereum
89759.27436465674,2025-12-22 10:01:39.263,bitcoin
3037.446220723541,2025-12-22 10:01:39.729,ethereum
1.9206436049513373,2025-12-22 10:01:40.627,ripple
77.7971075145729,2025-12-22 10:02:09.035,litecoin
77.95184358666351,2025-12-22 11:02:50.304,litecoin
3039.951604518949,2025-12-22 11:06:25.159,ethereum
89719.54780215317,2025-12-22 11:06:28.594,bitcoin
1.9259754460737077,2025-12-22 11:06:44.971,ripple
1.9342503352317602,2025-12-22 12:01:27.381,ripple
3049.905176151386,2025-12-22 12:01:42.783,ethereum
89932.453149189,2025-12-22 12:01:56.201,bitcoin
77.91952421343402,2025-12-22 12:02:35.702,litecoin
90168.94448705531,2025-12-22 13:00:37.043,bitcoin
1.9329873973147145,2025-12-22 13:00:45.400,ripple
3057.230623415445,2025-12-22 13:01:21.978,ethereum
77.8401039445652,2025-12-22 13:01:52.941,litecoin
77.9982239010597,2025-12-22 14:01:58.819,litecoin
1.9315045044782693,2025-12-22 14:01:58.948,ripple
89882.06268294484,2025-12-22 14:02:21.367,bitcoin
3056.386055623059,2025-12-22 14:02:33.935,ethereum
3060.4517267689494,2025-12-22 15:01:19.899,ethereum
78.37020109358335,2025-12-22 15:01:32.649,litecoin
1.938979375189228,2025-12-22 15:02:09.615,ripple
90069.3287142906,2025-12-22 15:02:42.845,bitcoin
3053.714694108634,2025-12-22 16:01:11.229,ethereum
89748.71371711291,2025-12-22 16:01:32.252,bitcoin
1.9338445858055253,2025-12-22 16:06:05.035,ripple
79.16291386558056,2025-12-22 16:06:13.915,litecoin
78.87383118632769,2025-12-22 17:02:17.683,litecoin
1.9347644155527879,2025-12-22 17:02:18.951,ripple
89525.98269298763,2025-12-22 17:02:40.015,bitcoin
3041.641783874525,2025-12-22 17:02:40.117,ethereum
